source_text,model,temperature,prompting_method,prompt_language,pages_processed,duration_seconds,inference_type,count_failed_pages,datetime,label,strict_p,strict_r,strict_f1,relaxed_p,relaxed_r,relaxed_f1,count_tp,count_fp,count_fn
1816_third_letter.txt,cogito-2.1:671b,0.0,zeroshot,dutch,10,94.6,cloud,0,2026-06-15 16:53:52,E18_Physical_Thing,0.3810,0.3871,0.3840,0.8033,0.7903,0.7967,,,
1816_third_letter.txt,cogito-2.1:671b,0.0,zeroshot,dutch,10,94.6,cloud,0,2026-06-15 16:53:52,E19_Physical_Object,0.4118,0.2800,0.3333,0.8889,0.6400,0.7442,,,
1816_third_letter.txt,cogito-2.1:671b,0.0,zeroshot,dutch,10,94.6,cloud,0,2026-06-15 16:53:52,E20_Biological_Object,0.0227,0.0588,0.0328,0.0909,0.2353,0.1311,,,
1816_third_letter.txt,cogito-2.1:671b,0.0,zeroshot,dutch,10,94.6,cloud,0,2026-06-15 16:53:52,E31_Document,0.1250,0.2000,0.1538,0.1250,0.2000,0.1538,,,
1816_third_letter.txt,cogito-2.1:671b,0.0,zeroshot,dutch,10,94.6,cloud,0,2026-06-15 16:53:52,E52_Time_Span,0.7500,0.1034,0.1818,1.0000,0.1379,0.2424,,,
1816_third_letter.txt,cogito-2.1:671b,0.0,zeroshot,dutch,10,94.6,cloud,0,2026-06-15 16:53:52,E53_Place,0.7639,0.5093,0.6111,0.9639,0.7407,0.8377,,,
1816_third_letter.txt,cogito-2.1:671b,0.0,zeroshot,dutch,10,94.6,cloud,0,2026-06-15 16:53:52,F2_Expression,0.0000,0.0000,0.0000,0.6667,0.1429,0.2353,,,
1816_third_letter.txt,cogito-2.1:671b,0.0,zeroshot,dutch,10,94.6,cloud,0,2026-06-15 16:53:52,Mode_of_Transportation,1.0000,0.0667,0.1250,1.0000,0.0667,0.1250,,,
1816_third_letter.txt,cogito-2.1:671b,0.0,zeroshot,dutch,10,94.6,cloud,0,2026-06-15 16:53:52,OVERALL,0.4348,0.3185,0.3676,0.7220,0.5524,0.6259,141,86,174
1816_third_letter.txt,cogito-2.1:671b,0.0,zeroshot,english,10,77.0,cloud,0,2026-06-15 16:53:56,E18_Physical_Thing,0.4889,0.3548,0.4112,0.9184,0.7258,0.8108,,,
1816_third_letter.txt,cogito-2.1:671b,0.0,zeroshot,english,10,77.0,cloud,0,2026-06-15 16:53:56,E19_Physical_Object,0.1875,0.0600,0.0909,0.8571,0.3600,0.5070,,,
1816_third_letter.txt,cogito-2.1:671b,0.0,zeroshot,english,10,77.0,cloud,0,2026-06-15 16:53:56,E20_Biological_Object,0.0000,0.0000,0.0000,0.0312,0.0588,0.0408,,,
1816_third_letter.txt,cogito-2.1:671b,0.0,zeroshot,english,10,77.0,cloud,0,2026-06-15 16:53:56,E31_Document,0.1250,0.2000,0.1538,0.1250,0.2000,0.1538,,,
1816_third_letter.txt,cogito-2.1:671b,0.0,zeroshot,english,10,77.0,cloud,0,2026-06-15 16:53:56,E52_Time_Span,0.5833,0.2414,0.3415,0.9167,0.3793,0.5366,,,
1816_third_letter.txt,cogito-2.1:671b,0.0,zeroshot,english,10,77.0,cloud,0,2026-06-15 16:53:56,E53_Place,0.8710,0.5000,0.6353,0.9861,0.6574,0.7889,,,
1816_third_letter.txt,cogito-2.1:671b,0.0,zeroshot,english,10,77.0,cloud,0,2026-06-15 16:53:56,F2_Expression,0.0000,0.0000,0.0000,0.1364,0.2143,0.1667,,,
1816_third_letter.txt,cogito-2.1:671b,0.0,zeroshot,english,10,77.0,cloud,0,2026-06-15 16:53:56,Mode_of_Transportation,1.0000,0.0333,0.0645,1.0000,0.0333,0.0645,,,
1816_third_letter.txt,cogito-2.1:671b,0.0,zeroshot,english,10,77.0,cloud,0,2026-06-15 16:53:56,OVERALL,0.4444,0.2803,0.3438,0.6959,0.4794,0.5677,119,78,196
1816_third_letter.txt,cogito-2.1:671b,0.5,zeroshot,dutch,10,89.9,cloud,0,2026-06-15 16:54:00,E18_Physical_Thing,0.5932,0.5645,0.5785,0.8667,0.8387,0.8525,,,
1816_third_letter.txt,cogito-2.1:671b,0.5,zeroshot,dutch,10,89.9,cloud,0,2026-06-15 16:54:00,E19_Physical_Object,0.4138,0.2400,0.3038,0.8000,0.4800,0.6000,,,
1816_third_letter.txt,cogito-2.1:671b,0.5,zeroshot,dutch,10,89.9,cloud,0,2026-06-15 16:54:00,E20_Biological_Object,0.2333,0.4118,0.2979,0.3103,0.5294,0.3913,,,
1816_third_letter.txt,cogito-2.1:671b,0.5,zeroshot,dutch,10,89.9,cloud,0,2026-06-15 16:54:00,E31_Document,0.2500,0.4000,0.3077,0.5000,0.8000,0.6154,,,
1816_third_letter.txt,cogito-2.1:671b,0.5,zeroshot,dutch,10,89.9,cloud,0,2026-06-15 16:54:00,E52_Time_Span,0.6000,0.2069,0.3077,0.9000,0.3103,0.4615,,,
